Age group,State,City,Location,Activity,Duration,Budget,Rating
21-25,Washington,Spokane,Manito Park,Sightseeing,12,1914,2
31-35,Colorado,Boulder,Boulder Creek Path,Visit Historical Sites,4,665,4
56-60,Massachusetts,Cambridge,Harvard University,Boating,6,1259,1
51-55,Massachusetts,Boston,Freedom Trail,Museum,3,596,2
31-35,Nevada,Reno,Lake Tahoe,Museum,3,436,5
31-35,Michigan,Ann Arbor,University of Michigan,Visit Historical Sites,1,192,5
26-30,Arizona,Phoenix,Desert Botanical Garden,Sightseeing,8,1228,3
21-25,Michigan,Ann Arbor,University of Michigan,Visit Historical Sites,5,837,5
36-40,California,San Diego,Balboa Park,Hiking,7,1528,4
46-50,California,San Francisco,Alcatraz Island,Hiking,5,1314,1
21-25,New York,Buffalo,Niagara Falls,Sightseeing,11,1705,4
46-50,Texas,Austin,The State Capitol,Theme Parks,7,1310,4
56-60,Texas,Dallas,The Sixth Floor Museum,Visit Historical Sites,14,3973,3
41-45,Indiana,Bloomington,Monroe Lake,Visit Historical Sites,10,2518,3
66-70,New York,New York City,Empire State Building,Visit Historical Sites,9,2791,4
51-55,Florida,Orlando,Universal Studios,Hiking,3,707,2
26-30,Illinois,Springfield,Lincoln Home National Historic Site,Theme Parks,3,511,5
31-35,Nebraska,Lincoln,Sunken Gardens,Sightseeing,9,1452,2
51-55,Oregon,Eugene,Mount Pisgah,Hiking,14,2997,5
66-70,New York,Buffalo,Niagara Falls,Sightseeing,8,1945,3
51-55,Washington,Spokane,Manito Park,Museum,10,2816,2
36-40,Nebraska,Omaha,Henry Doorly Zoo,Theme Parks,4,873,4
61-65,Illinois,Springfield,Lincoln Home National Historic Site,Theme Parks,12,3572,2
36-40,Tennessee,Nashville,Grand Ole Opry,Museum,7,1421,5
56-60,Tennessee,Nashville,Grand Ole Opry,Hiking,8,1659,5
41-45,Oregon,Eugene,Mount Pisgah,Visit Historical Sites,1,185,3
36-40,Texas,Dallas,The Sixth Floor Museum,Sightseeing,9,1471,3
56-60,Illinois,Springfield,Lincoln Home National Historic Site,Sightseeing,4,1072,5
61-65,Arizona,Phoenix,Desert Botanical Garden,Theme Parks,7,1980,5
61-65,Nevada,Reno,Lake Tahoe,Hiking,14,3486,4
61-65,Florida,Miami,Everglades,Sightseeing,2,438,2
51-55,Texas,Dallas,The Sixth Floor Museum,Visit Historical Sites,12,3139,2
56-60,Texas,Austin,The State Capitol,Sightseeing,13,3133,4
61-65,New York,Buffalo,Buffalo Zoo,Theme Parks,9,2508,4
41-45,Washington,Seattle,Pike Place Market,Hiking,11,2297,1
41-45,Colorado,Denver,Rocky Mountain National Park,Hiking,12,2625,5
66-70,Arizona,Grand Canyon Village,Grand Canyon,Sightseeing,13,3593,3
51-55,Florida,Miami,Everglades,Visit Historical Sites,4,895,3
51-55,Texas,Dallas,The Sixth Floor Museum,Hiking,1,227,2
41-45,Colorado,Boulder,Boulder Creek Path,Boating,3,534,3
66-70,Massachusetts,Boston,Freedom Trail,Sightseeing,1,282,1
21-25,Massachusetts,Boston,Fenway Park,Sightseeing,2,328,5
61-65,Nevada,Las Vegas,The Strip,Museum,14,4416,5
31-35,California,San Diego,Balboa Park,Visit Historical Sites,2,407,2
51-55,Massachusetts,Cambridge,Harvard University,Hiking,4,964,5
21-25,Michigan,Ann Arbor,University of Michigan,Visit Historical Sites,5,620,2
21-25,New Mexico,Santa Fe,Santa Fe Plaza,Visit Historical Sites,2,325,4
51-55,Arizona,Phoenix,Desert Botanical Garden,Hiking,2,549,4
66-70,Colorado,Denver,Rocky Mountain National Park,Boating,9,2660,5
26-30,California,Los Angeles,Santa Monica Pier,Hiking,4,570,4
51-55,Texas,Houston,Houston Zoo,Hiking,5,1084,5
66-70,Iowa,Des Moines,Iowa State Capitol,Boating,14,4776,4
26-30,Illinois,Chicago,Millennium Park,Museum,7,1213,3
31-35,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,7,1184,4
56-60,Nevada,Reno,Lake Tahoe,Sightseeing,6,1418,3
46-50,Colorado,Denver,Rocky Mountain National Park,Theme Parks,8,1760,2
41-45,New Mexico,Santa Fe,Santa Fe Plaza,Museum,12,2063,3
31-35,California,San Francisco,Golden Gate Bridge,Theme Parks,14,2368,5
66-70,Tennessee,Memphis,Graceland,Theme Parks,11,3490,5
41-45,Texas,Houston,Houston Zoo,Museum,13,3241,4
46-50,Colorado,Boulder,Boulder Creek Path,Hiking,9,1627,4
61-65,Nevada,Reno,Lake Tahoe,Hiking,6,1874,2
66-70,Massachusetts,Boston,Freedom Trail,Hiking,12,2944,5
21-25,New York,Buffalo,Buffalo Zoo,Hiking,8,1380,1
56-60,Colorado,Denver,Rocky Mountain National Park,Theme Parks,9,2217,5
66-70,Oregon,Portland,Portland Japanese Garden,Boating,11,2668,2
36-40,Michigan,Ann Arbor,University of Michigan,Boating,4,903,1
51-55,Illinois,Chicago,Millennium Park,Theme Parks,3,593,2
36-40,Texas,Dallas,The Sixth Floor Museum,Visit Historical Sites,13,2471,1
36-40,Arizona,Phoenix,Desert Botanical Garden,Theme Parks,10,1583,4
66-70,New York,Buffalo,Niagara Falls,Sightseeing,9,2052,1
66-70,Tennessee,Nashville,Grand Ole Opry,Sightseeing,13,3390,2
46-50,Washington,Seattle,Pike Place Market,Visit Historical Sites,10,2679,1
21-25,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,3,374,4
26-30,Iowa,Des Moines,Iowa State Capitol,Hiking,1,140,3
46-50,Washington,Seattle,Pike Place Market,Theme Parks,1,183,2
51-55,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,4,968,3
21-25,Tennessee,Memphis,Graceland,Hiking,6,1045,1
21-25,Colorado,Boulder,Boulder Creek Path,Museum,11,1747,5
51-55,Colorado,Denver,Rocky Mountain National Park,Theme Parks,14,3396,1
56-60,Massachusetts,Cambridge,Harvard University,Visit Historical Sites,3,639,2
61-65,Indiana,Indianapolis,Indianapolis Motor Speedway,Boating,1,271,1
51-55,Arizona,Phoenix,Desert Botanical Garden,Museum,4,814,5
51-55,Arizona,Grand Canyon Village,Grand Canyon,Hiking,7,1783,1
21-25,Nebraska,Lincoln,Sunken Gardens,Museum,7,1041,2
66-70,Washington,Seattle,Space Needle,Boating,5,1288,1
46-50,California,San Diego,Balboa Park,Museum,9,2205,2
61-65,Florida,Orlando,Universal Studios,Boating,1,308,1
61-65,Tennessee,Memphis,Graceland,Visit Historical Sites,13,4198,1
41-45,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,4,812,4
56-60,Colorado,Denver,Rocky Mountain National Park,Hiking,1,276,2
31-35,Florida,Orlando,Universal Studios,Boating,11,2179,5
41-45,New Mexico,Albuquerque,Sandia Peak Tramway,Hiking,11,2127,1
51-55,Florida,Orlando,Universal Studios,Boating,2,462,3
61-65,New Mexico,Albuquerque,Sandia Peak Tramway,Museum,10,2956,4
36-40,New Mexico,Albuquerque,Sandia Peak Tramway,Hiking,10,2250,1
61-65,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Boating,11,2480,3
51-55,Tennessee,Nashville,Grand Ole Opry,Hiking,1,222,5
51-55,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,13,3319,2
31-35,Oregon,Portland,Portland Japanese Garden,Museum,10,1741,2
36-40,Arizona,Phoenix,Desert Botanical Garden,Hiking,7,1234,1
41-45,Nevada,Reno,Lake Tahoe,Theme Parks,6,1167,2
56-60,Oregon,Portland,Portland Japanese Garden,Visit Historical Sites,12,2642,2
61-65,Florida,Miami,Miami Beach,Sightseeing,1,252,1
56-60,Texas,Dallas,The Sixth Floor Museum,Museum,14,3504,1
61-65,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,5,1159,1
56-60,Massachusetts,Cambridge,Harvard University,Sightseeing,4,818,1
31-35,Texas,Houston,Space Center,Theme Parks,7,1254,5
26-30,Indiana,Bloomington,Monroe Lake,Hiking,13,2567,4
31-35,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,3,609,4
41-45,Texas,Houston,Space Center,Museum,4,937,4
21-25,Oregon,Eugene,Mount Pisgah,Boating,10,1261,1
21-25,Nebraska,Omaha,Henry Doorly Zoo,Museum,4,618,4
56-60,Washington,Spokane,Manito Park,Theme Parks,1,214,1
26-30,Massachusetts,Cambridge,Harvard University,Boating,14,2368,5
66-70,Tennessee,Nashville,Grand Ole Opry,Hiking,10,2484,3
41-45,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Museum,3,695,4
41-45,Massachusetts,Cambridge,Harvard University,Sightseeing,14,2637,2
56-60,Nebraska,Omaha,Henry Doorly Zoo,Theme Parks,9,2451,2
41-45,Colorado,Denver,Rocky Mountain National Park,Museum,9,2083,3
61-65,Tennessee,Nashville,Grand Ole Opry,Museum,1,279,5
66-70,Arizona,Phoenix,Desert Botanical Garden,Museum,1,247,5
21-25,California,San Francisco,Alcatraz Island,Visit Historical Sites,1,127,1
26-30,Washington,Spokane,Manito Park,Hiking,2,393,4
21-25,Texas,Austin,The State Capitol,Hiking,1,128,4
66-70,New York,Buffalo,Niagara Falls,Museum,2,604,3
41-45,Tennessee,Memphis,Graceland,Theme Parks,14,3079,5
36-40,Massachusetts,Cambridge,Harvard University,Visit Historical Sites,9,1906,3
41-45,New Mexico,Albuquerque,Sandia Peak Tramway,Boating,13,2933,4
61-65,Arizona,Grand Canyon Village,Grand Canyon,Visit Historical Sites,6,1924,1
51-55,Nevada,Reno,Lake Tahoe,Boating,4,907,4
31-35,Tennessee,Nashville,Grand Ole Opry,Sightseeing,7,1155,3
61-65,Nevada,Las Vegas,Red Rock Canyon,Sightseeing,8,1980,5
21-25,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Museum,1,176,2
41-45,Texas,Dallas,The Sixth Floor Museum,Sightseeing,7,1687,3
41-45,Nevada,Reno,Lake Tahoe,Sightseeing,11,2590,5
31-35,Tennessee,Memphis,Graceland,Hiking,14,2153,5
21-25,New Mexico,Santa Fe,Santa Fe Plaza,Visit Historical Sites,6,764,4
41-45,New Mexico,Santa Fe,Santa Fe Plaza,Museum,4,866,2
46-50,Massachusetts,Cambridge,Harvard University,Theme Parks,8,1709,1
21-25,Florida,Orlando,Walt Disney World,Visit Historical Sites,2,315,4
56-60,Illinois,Springfield,Lincoln Home National Historic Site,Sightseeing,3,893,5
31-35,Florida,Orlando,Universal Studios,Theme Parks,2,363,2
31-35,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Visit Historical Sites,9,1768,3
41-45,California,San Diego,Balboa Park,Sightseeing,10,2380,1
36-40,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,5,1097,2
31-35,Florida,Miami,Miami Beach,Museum,5,755,2
36-40,Arizona,Phoenix,Desert Botanical Garden,Museum,13,2125,2
21-25,Florida,Orlando,Walt Disney World,Visit Historical Sites,8,1245,5
51-55,Iowa,Des Moines,Iowa State Capitol,Theme Parks,5,984,3
66-70,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,4,975,2
21-25,Texas,Austin,Zilker Metropolitan Park,Museum,2,257,2
46-50,Texas,Dallas,The Sixth Floor Museum,Theme Parks,7,1625,1
51-55,Massachusetts,Cambridge,Harvard University,Sightseeing,14,3930,4
21-25,Texas,Dallas,The Sixth Floor Museum,Visit Historical Sites,8,971,1
21-25,Tennessee,Memphis,Graceland,Museum,3,465,1
46-50,Colorado,Denver,Rocky Mountain National Park,Boating,14,3183,5
51-55,Tennessee,Nashville,Grand Ole Opry,Visit Historical Sites,7,1490,3
51-55,Indiana,Indianapolis,Indianapolis Motor Speedway,Boating,2,480,1
56-60,Illinois,Chicago,Millennium Park,Sightseeing,7,1843,4
26-30,Tennessee,Nashville,Grand Ole Opry,Theme Parks,8,1356,4
56-60,Massachusetts,Boston,Freedom Trail,Boating,10,2387,5
66-70,New Mexico,Santa Fe,Santa Fe Plaza,Museum,1,266,1
41-45,Illinois,Springfield,Lincoln Home National Historic Site,Theme Parks,4,710,2
56-60,Arizona,Phoenix,Desert Botanical Garden,Visit Historical Sites,1,248,2
21-25,California,Los Angeles,Hollywood,Museum,6,785,1
61-65,Nebraska,Omaha,Henry Doorly Zoo,Visit Historical Sites,4,1151,3
56-60,Indiana,Indianapolis,Indianapolis Motor Speedway,Museum,1,209,5
31-35,Texas,Dallas,The Sixth Floor Museum,Boating,12,2320,2
36-40,Illinois,Chicago,Willis Tower,Visit Historical Sites,3,694,3
56-60,Illinois,Chicago,Willis Tower,Visit Historical Sites,8,1770,4
41-45,Nevada,Las Vegas,Red Rock Canyon,Hiking,13,2668,3
61-65,Massachusetts,Cambridge,Harvard University,Sightseeing,9,2594,2
66-70,California,San Francisco,Golden Gate Bridge,Boating,7,2282,3
51-55,Florida,Miami,Everglades,Visit Historical Sites,2,526,4
46-50,Colorado,Denver,Rocky Mountain National Park,Theme Parks,3,626,3
31-35,Oregon,Eugene,Mount Pisgah,Boating,8,1605,4
21-25,California,San Diego,San Diego Zoo,Sightseeing,6,838,3
56-60,Nevada,Las Vegas,Red Rock Canyon,Sightseeing,4,1044,3
66-70,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Visit Historical Sites,12,3586,1
51-55,California,San Francisco,Golden Gate Bridge,Sightseeing,6,1646,4
66-70,Florida,Miami,Everglades,Sightseeing,12,3844,5
31-35,Tennessee,Nashville,Grand Ole Opry,Museum,1,185,2
46-50,Florida,Orlando,Walt Disney World,Museum,9,2184,2
26-30,Colorado,Boulder,Boulder Creek Path,Hiking,7,1089,3
31-35,Colorado,Denver,Rocky Mountain National Park,Sightseeing,2,398,1
31-35,Iowa,Des Moines,Iowa State Capitol,Museum,11,1744,4
66-70,Michigan,Detroit,The Detroit Institute of Arts,Hiking,1,268,3
46-50,Texas,Dallas,The Sixth Floor Museum,Sightseeing,13,2834,3
61-65,Nevada,Las Vegas,The Strip,Sightseeing,8,2183,2
31-35,Nevada,Reno,Lake Tahoe,Visit Historical Sites,9,1941,3
41-45,Washington,Spokane,Manito Park,Visit Historical Sites,9,1516,1
31-35,Arizona,Grand Canyon Village,Grand Canyon,Museum,7,1051,5
66-70,Colorado,Denver,Rocky Mountain National Park,Boating,14,4218,5
61-65,Tennessee,Nashville,Grand Ole Opry,Visit Historical Sites,6,1749,4
66-70,Massachusetts,Boston,Fenway Park,Boating,4,1225,3
41-45,Oregon,Eugene,Mount Pisgah,Theme Parks,5,944,4
21-25,Tennessee,Nashville,Grand Ole Opry,Museum,5,897,2
46-50,Nevada,Las Vegas,The Strip,Sightseeing,13,3221,4
46-50,Massachusetts,Cambridge,Harvard University,Museum,8,1474,5
36-40,Colorado,Boulder,Boulder Creek Path,Visit Historical Sites,6,1046,2
41-45,Illinois,Chicago,Willis Tower,Theme Parks,2,420,2
26-30,Nebraska,Lincoln,Sunken Gardens,Museum,5,826,2
26-30,Tennessee,Nashville,Grand Ole Opry,Museum,10,1707,1
51-55,Colorado,Boulder,Boulder Creek Path,Sightseeing,13,2596,1
56-60,Michigan,Detroit,The Detroit Institute of Arts,Boating,12,2542,5
36-40,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,9,1478,4
51-55,California,Los Angeles,Santa Monica Pier,Visit Historical Sites,13,3725,2
31-35,Illinois,Chicago,Millennium Park,Museum,9,1839,5
26-30,Tennessee,Nashville,Grand Ole Opry,Hiking,13,1829,5
66-70,Nebraska,Lincoln,Sunken Gardens,Theme Parks,5,1165,4
41-45,Massachusetts,Boston,Freedom Trail,Visit Historical Sites,3,665,3
21-25,Texas,Houston,Space Center,Visit Historical Sites,10,1577,4
41-45,California,San Diego,San Diego Zoo,Visit Historical Sites,6,1042,5
21-25,Nebraska,Omaha,Henry Doorly Zoo,Boating,13,1998,5
31-35,New York,Buffalo,Niagara Falls,Visit Historical Sites,6,1192,3
56-60,New Mexico,Albuquerque,Sandia Peak Tramway,Theme Parks,6,1674,4
41-45,Indiana,Bloomington,Monroe Lake,Museum,4,715,5
36-40,Nebraska,Lincoln,Sunken Gardens,Museum,8,1448,3
66-70,California,San Diego,Balboa Park,Sightseeing,13,3805,5
21-25,Florida,Orlando,Universal Studios,Theme Parks,2,291,5
31-35,Illinois,Springfield,Lincoln Home National Historic Site,Hiking,2,386,4
61-65,Oregon,Eugene,Mount Pisgah,Visit Historical Sites,13,3850,3
36-40,Florida,Miami,Miami Beach,Museum,12,2467,5
21-25,Michigan,Detroit,The Detroit Institute of Arts,Museum,2,352,4
51-55,Tennessee,Memphis,Graceland,Hiking,3,735,1
41-45,Arizona,Phoenix,Desert Botanical Garden,Boating,2,467,2
56-60,Nebraska,Omaha,Henry Doorly Zoo,Boating,12,2724,4
26-30,Washington,Spokane,Manito Park,Hiking,13,1807,2
56-60,Nevada,Las Vegas,The Strip,Museum,13,3502,2
21-25,Texas,Dallas,The Sixth Floor Museum,Museum,7,891,1
66-70,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Museum,8,2198,5
51-55,Michigan,Detroit,The Detroit Institute of Arts,Museum,1,220,1
31-35,Colorado,Denver,Rocky Mountain National Park,Theme Parks,12,2053,1
36-40,Massachusetts,Cambridge,Harvard University,Sightseeing,2,359,2
56-60,Nebraska,Lincoln,Sunken Gardens,Sightseeing,10,2329,3
21-25,Nevada,Las Vegas,Red Rock Canyon,Boating,10,1797,1
41-45,Washington,Seattle,Pike Place Market,Theme Parks,5,1013,1
46-50,Tennessee,Memphis,Graceland,Hiking,2,527,1
61-65,Massachusetts,Boston,Fenway Park,Visit Historical Sites,11,2648,3
51-55,Colorado,Boulder,Boulder Creek Path,Visit Historical Sites,9,1760,1
36-40,Tennessee,Nashville,Grand Ole Opry,Sightseeing,3,558,1
51-55,Texas,Houston,Houston Zoo,Visit Historical Sites,14,3876,3
66-70,Nevada,Las Vegas,Red Rock Canyon,Sightseeing,11,2684,1
51-55,Texas,Houston,Houston Zoo,Boating,11,2200,4
36-40,Arizona,Grand Canyon Village,Grand Canyon,Boating,3,537,3
21-25,Arizona,Phoenix,Desert Botanical Garden,Museum,2,336,4
61-65,Illinois,Chicago,Willis Tower,Visit Historical Sites,6,1530,5
46-50,New Mexico,Santa Fe,Santa Fe Plaza,Sightseeing,9,2331,3
66-70,Tennessee,Nashville,Grand Ole Opry,Museum,8,2362,2
31-35,California,San Diego,Balboa Park,Theme Parks,14,2662,5
51-55,Illinois,Springfield,Lincoln Home National Historic Site,Museum,7,1964,3
66-70,Arizona,Phoenix,Desert Botanical Garden,Hiking,2,584,4
51-55,Washington,Spokane,Manito Park,Sightseeing,4,889,3
36-40,Tennessee,Memphis,Graceland,Boating,11,2103,1
66-70,Oregon,Portland,Portland Japanese Garden,Sightseeing,5,1329,1
51-55,Texas,Houston,Houston Zoo,Theme Parks,12,3364,2
61-65,California,Los Angeles,Hollywood,Visit Historical Sites,13,2918,4
51-55,Texas,Houston,Space Center,Theme Parks,11,2868,1
36-40,Colorado,Denver,Rocky Mountain National Park,Theme Parks,11,1890,1
21-25,New York,Buffalo,Niagara Falls,Visit Historical Sites,4,636,4
31-35,New York,Buffalo,Niagara Falls,Sightseeing,4,759,1
26-30,Florida,Orlando,Universal Studios,Boating,9,1645,2
41-45,Tennessee,Nashville,Grand Ole Opry,Visit Historical Sites,5,1123,3
66-70,Washington,Seattle,Pike Place Market,Museum,2,485,4
61-65,Tennessee,Nashville,Grand Ole Opry,Theme Parks,2,529,3
46-50,Nebraska,Lincoln,Sunken Gardens,Hiking,3,628,5
26-30,Washington,Seattle,Pike Place Market,Sightseeing,4,771,3
46-50,Washington,Spokane,Manito Park,Boating,11,2274,5
66-70,Illinois,Springfield,Lincoln Home National Historic Site,Theme Parks,2,643,3
66-70,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,2,667,5
56-60,Indiana,Indianapolis,Indianapolis Motor Speedway,Hiking,6,1461,1
41-45,New York,Buffalo,Buffalo Zoo,Boating,9,2166,4
21-25,Michigan,Ann Arbor,University of Michigan,Visit Historical Sites,7,1125,2
41-45,New Mexico,Albuquerque,Sandia Peak Tramway,Boating,10,2377,2
41-45,Tennessee,Memphis,Graceland,Sightseeing,14,3393,3
26-30,Texas,Dallas,The Sixth Floor Museum,Visit Historical Sites,4,623,2
56-60,Massachusetts,Cambridge,Harvard University,Boating,5,1174,2
61-65,Iowa,Des Moines,Iowa State Capitol,Sightseeing,5,1512,4
66-70,Illinois,Springfield,Lincoln Home National Historic Site,Boating,1,292,1
61-65,Tennessee,Memphis,Graceland,Boating,3,855,3
46-50,Massachusetts,Boston,Fenway Park,Museum,9,1756,3
46-50,Illinois,Chicago,Willis Tower,Theme Parks,5,1080,5
66-70,Indiana,Bloomington,Monroe Lake,Museum,2,468,2
61-65,California,Los Angeles,Hollywood,Boating,4,1078,1
21-25,New York,Buffalo,Niagara Falls,Theme Parks,12,1680,5
66-70,California,Los Angeles,Santa Monica Pier,Sightseeing,2,612,3
66-70,Oregon,Eugene,Mount Pisgah,Hiking,3,1008,3
36-40,Colorado,Boulder,Boulder Creek Path,Hiking,13,2213,4
31-35,Nebraska,Omaha,Henry Doorly Zoo,Visit Historical Sites,1,193,2
31-35,New York,Buffalo,Buffalo Zoo,Boating,12,2524,1
66-70,Oregon,Portland,Portland Japanese Garden,Museum,6,1572,5
41-45,Arizona,Phoenix,Desert Botanical Garden,Museum,1,216,2
61-65,Illinois,Chicago,Willis Tower,Visit Historical Sites,13,3393,3
61-65,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,7,2017,5
36-40,California,San Diego,Balboa Park,Boating,3,657,1
51-55,Colorado,Boulder,Boulder Creek Path,Boating,5,1104,3
41-45,Texas,Austin,Zilker Metropolitan Park,Theme Parks,13,2353,1
51-55,Arizona,Phoenix,Desert Botanical Garden,Visit Historical Sites,12,3025,4
61-65,New Mexico,Albuquerque,Sandia Peak Tramway,Theme Parks,9,2339,1
61-65,Iowa,Des Moines,Iowa State Capitol,Boating,13,3677,1
66-70,Washington,Seattle,Pike Place Market,Boating,14,3886,3
46-50,Texas,Houston,Space Center,Theme Parks,10,2189,3
26-30,Arizona,Grand Canyon Village,Grand Canyon,Boating,3,501,1
66-70,Michigan,Ann Arbor,University of Michigan,Sightseeing,3,974,2
46-50,New York,Buffalo,Niagara Falls,Museum,3,711,1
56-60,Nevada,Las Vegas,Red Rock Canyon,Theme Parks,6,1655,3
56-60,Iowa,Des Moines,Iowa State Capitol,Theme Parks,12,3238,4
61-65,California,San Diego,Balboa Park,Theme Parks,2,442,3
51-55,Indiana,Indianapolis,Indianapolis Motor Speedway,Hiking,2,484,3
21-25,New Mexico,Albuquerque,Sandia Peak Tramway,Visit Historical Sites,10,1376,5
66-70,Michigan,Detroit,The Detroit Institute of Arts,Theme Parks,1,250,5
41-45,New Mexico,Albuquerque,Sandia Peak Tramway,Museum,2,497,2
66-70,Texas,Austin,Zilker Metropolitan Park,Visit Historical Sites,5,1217,5
66-70,Illinois,Springfield,Lincoln Home National Historic Site,Hiking,4,940,1
21-25,New York,New York City,Central Park,Museum,10,1742,4
36-40,Massachusetts,Cambridge,Harvard University,Sightseeing,8,1735,3
26-30,Nevada,Las Vegas,The Strip,Sightseeing,12,2065,2
31-35,Texas,Houston,Space Center,Theme Parks,6,907,5
41-45,New Mexico,Santa Fe,Santa Fe Plaza,Boating,14,2744,1
51-55,Tennessee,Memphis,Graceland,Visit Historical Sites,13,3742,3
26-30,Massachusetts,Boston,Fenway Park,Theme Parks,4,675,5
41-45,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Museum,2,421,2
61-65,Texas,Dallas,The Sixth Floor Museum,Museum,11,2450,5
51-55,Nevada,Las Vegas,Red Rock Canyon,Hiking,3,598,1
31-35,Nevada,Reno,Lake Tahoe,Visit Historical Sites,11,2205,1
46-50,Washington,Spokane,Manito Park,Hiking,12,2399,3
31-35,New Mexico,Albuquerque,Sandia Peak Tramway,Theme Parks,10,1719,5
61-65,Arizona,Grand Canyon Village,Grand Canyon,Museum,3,926,2
66-70,Colorado,Boulder,Boulder Creek Path,Museum,7,2311,1
46-50,Colorado,Boulder,Boulder Creek Path,Boating,2,535,1
46-50,California,San Diego,San Diego Zoo,Museum,1,222,5
41-45,Texas,Dallas,The Sixth Floor Museum,Boating,8,1680,2
21-25,Arizona,Phoenix,Desert Botanical Garden,Hiking,9,1195,1
46-50,Tennessee,Nashville,Grand Ole Opry,Visit Historical Sites,14,3133,5
51-55,Tennessee,Nashville,Grand Ole Opry,Museum,3,636,4
61-65,Oregon,Portland,Portland Japanese Garden,Theme Parks,4,1213,5
41-45,Texas,Austin,Zilker Metropolitan Park,Theme Parks,14,2825,1
66-70,Illinois,Chicago,Millennium Park,Sightseeing,5,1466,1
56-60,Colorado,Denver,Rocky Mountain National Park,Theme Parks,9,2341,1
41-45,Nevada,Reno,Lake Tahoe,Boating,11,2519,3
31-35,Arizona,Phoenix,Desert Botanical Garden,Theme Parks,11,2230,3
31-35,Florida,Miami,Everglades,Museum,2,349,4
46-50,Indiana,Bloomington,Monroe Lake,Museum,8,1909,1
41-45,Illinois,Springfield,Lincoln Home National Historic Site,Sightseeing,9,1804,5
51-55,Massachusetts,Boston,Fenway Park,Boating,13,2753,5
21-25,California,Los Angeles,Hollywood,Sightseeing,5,625,3
21-25,Illinois,Springfield,Lincoln Home National Historic Site,Museum,9,1505,5
51-55,Oregon,Portland,Portland Japanese Garden,Museum,9,1795,4
21-25,Tennessee,Memphis,Graceland,Boating,11,1752,5
31-35,Nebraska,Lincoln,Sunken Gardens,Museum,7,1039,3
21-25,Colorado,Boulder,Boulder Creek Path,Museum,9,1265,5
31-35,Indiana,Indianapolis,Indianapolis Motor Speedway,Sightseeing,1,200,5
51-55,Iowa,Des Moines,Iowa State Capitol,Theme Parks,11,2309,4
21-25,Michigan,Ann Arbor,University of Michigan,Boating,5,714,1
51-55,New York,New York City,Central Park,Sightseeing,8,1597,2
46-50,Florida,Miami,Miami Beach,Boating,3,777,5
66-70,Oregon,Eugene,Mount Pisgah,Visit Historical Sites,11,3082,1
61-65,Oregon,Eugene,Mount Pisgah,Hiking,13,4159,1
66-70,Nebraska,Lincoln,Sunken Gardens,Theme Parks,6,1978,5
51-55,New York,New York City,Empire State Building,Hiking,4,911,5
26-30,Oregon,Portland,Portland Japanese Garden,Boating,9,1714,5
41-45,Arizona,Phoenix,Desert Botanical Garden,Theme Parks,2,380,4
66-70,Texas,Dallas,The Sixth Floor Museum,Hiking,7,2281,2
56-60,Texas,Austin,The State Capitol,Theme Parks,7,1680,2
21-25,Oregon,Portland,Portland Japanese Garden,Theme Parks,10,1305,3
51-55,Texas,Austin,The State Capitol,Theme Parks,11,2838,3
66-70,Michigan,Detroit,The Detroit Institute of Arts,Visit Historical Sites,9,2579,2
36-40,Washington,Spokane,Manito Park,Hiking,13,2822,4
26-30,California,San Francisco,Alcatraz Island,Boating,5,909,3
21-25,New York,New York City,Central Park,Hiking,3,518,3
61-65,Iowa,Des Moines,Iowa State Capitol,Boating,14,3048,3
21-25,California,Los Angeles,Santa Monica Pier,Hiking,13,2090,2
51-55,Michigan,Ann Arbor,University of Michigan,Visit Historical Sites,7,1647,3
66-70,Indiana,Bloomington,Monroe Lake,Boating,2,683,3
36-40,Iowa,Des Moines,Iowa State Capitol,Museum,14,3108,4
41-45,New Mexico,Santa Fe,Santa Fe Plaza,Museum,11,2476,2
36-40,Texas,Dallas,The Sixth Floor Museum,Hiking,8,1377,4
46-50,Nevada,Las Vegas,Red Rock Canyon,Theme Parks,8,2093,4
61-65,Washington,Spokane,Manito Park,Visit Historical Sites,1,315,2
56-60,Indiana,Bloomington,Monroe Lake,Museum,11,2501,3
41-45,Oregon,Eugene,Mount Pisgah,Theme Parks,1,227,1
